Question Asked,Answer Given,Top Match,Answer Taught,Category,Question Type,Date Received, Date Responded,Response Time,Processed By
non landed residentialvrental data,,,General information on property market,,No Feedback,10/5/2019 16:48,1/13/2020 13:00,100,Benjamin Chow
i would to know the rental market yield,General information on property market,Top Match,General information on property market,,No Feedback,10/10/2019 17:43,1/13/2020 12:59,95,Benjamin Chow
rental,Catch all,Top Match,Catch all,,No Feedback,10/7/2019 16:30,1/13/2020 12:59,98,Benjamin Chow
Hi i would like to do a rental booking of the facilities hall,Catch all,Top Match,Are URA's conference and training facilities available for public to rent?,URA Rental,No Feedback,11/7/2019 8:38,1/13/2020 12:59,67,Benjamin Chow
when are the rental contract of private residential properties updated,,,General information on property market,,No Feedback,10/15/2019 11:02,1/13/2020 12:57,90,Benjamin Chow
when are the rental contract of private residential properties monthly report updated,,,General information on property market,,No Feedback,10/15/2019 11:03,1/13/2020 12:57,90,Benjamin Chow
Am I permitted to rental out private property under coliving arrangement,,,General info on renting private residential property,,No Feedback,10/27/2019 17:09,1/13/2020 12:56,78,Benjamin Chow
venue rental,Are URA's conference and training facilities available for public to rent?,Top Match,Are URA's conference and training facilities available for public to rent?,URA Rental,Incorrect,10/30/2019 11:46,1/13/2020 12:56,75,Benjamin Chow
i would like to transfer season parking temporarily to a rental car because new car not ready,,,Car Parks-Season Parking-Transfer,,No Feedback,11/15/2019 21:10,1/13/2020 12:56,59,Benjamin Chow
Is car rental and chauffeur services allowed under the home office scheme,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,11/20/2019 17:09,1/13/2020 12:55,54,Benjamin Chow
I am looking for private rental transaction history for a particular development and no records are shown,Catch all,,General info for feedback on e-Service errors,,No Feedback,12/16/2019 10:38,1/13/2020 12:53,28,Benjamin Chow
rental of trailer parking,(UPL) How do I apply for trailer parking?,Top Match,(UPL) How do I apply for trailer parking?,Car Parks,Incorrect,12/30/2019 9:03,1/13/2020 12:53,14,Benjamin Chow
For Bugis Cube at Victoria Street do the shop owners need to apply for change of use from a shop to a KTV or PUB,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,10/2/2019 12:08,1/13/2020 12:25,103,Benjamin Chow
The unit at Bugis Cube was for retail before Now the ownertenant want to use it for entertainment purpose as KTVPUB Is application for change of use,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,10/2/2019 12:10,1/13/2020 12:25,103,Benjamin Chow
event application,"I'm interested to organise an event at Marina Bay, where can I find more information?",,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,10/3/2019 14:50,1/13/2020 12:15,102,Benjamin Chow
how do i apply for bayfront event space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,10/9/2019 16:33,1/13/2020 12:15,96,Benjamin Chow
bayfront event space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,10/9/2019 16:33,1/13/2020 12:15,96,Benjamin Chow
marina area,"I'm interested to organise an event at Marina Bay, where can I find more information?",,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,10/12/2019 22:29,1/13/2020 12:15,93,Benjamin Chow
Is the lawn mbs available on 13 December 2019,"I'm interested to organise an event at Marina Bay, where can I find more information?",,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,10/14/2019 9:56,1/13/2020 12:15,91,Benjamin Chow
Hi I just want to have an idea of how will it cost if I want to hold an event in Bayfront Event Space with an attendance of about 400 people,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,10/25/2019 22:54,1/13/2020 12:14,80,Benjamin Chow
Hi I just want to have an idea of how will it cost if I want to hold an event in Bayfront Event Space with an attendance of about 400 people,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,10/25/2019 22:55,1/13/2020 12:14,80,Benjamin Chow
hi food truck can only operates at waterfront promenade,I am interested to operate a food truck at Marina Bay. What spaces are available?,Top Match,I am interested to operate a food truck at Marina Bay. What spaces are available?,Place Management,No Feedback,10/28/2019 16:38,1/13/2020 12:14,77,Benjamin Chow
what are the locations can i operate food truck,I am interested to operate a food truck at Marina Bay. What spaces are available?,Top Match,I am interested to operate a food truck at Marina Bay. What spaces are available?,Place Management,No Feedback,10/28/2019 16:41,1/13/2020 12:14,77,Benjamin Chow
can i have the hotline for rental of Promontory Marina Bay,General Information about URA,Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,10/7/2019 10:07,1/13/2020 12:14,98,Benjamin Chow
Hi can the food truck be located at other locations instead of waterfron promenade,I am interested to operate a food truck at Marina Bay. What spaces are available?,,I am interested to operate a food truck at Marina Bay. What spaces are available?,Place Management,No Feedback,11/1/2019 11:44,1/13/2020 12:13,73,Benjamin Chow
leasing event space venue enquiries,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/1/2019 15:04,1/13/2020 12:13,73,Benjamin Chow
Can i book the promontory for a private family function for an hour,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,11/4/2019 9:41,1/13/2020 12:13,70,Benjamin Chow
what is the carry capacity for the bayfront event space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/4/2019 16:02,1/13/2020 12:13,70,Benjamin Chow
food kiosk,I am interested to operate a food truck at Marina Bay. What spaces are available?,Top Match,I am interested to operate a food truck at Marina Bay. What spaces are available?,Place Management,No Feedback,11/14/2019 14:47,1/13/2020 12:13,60,Benjamin Chow
food kiosk meaning,I am interested to operate a food truck at Marina Bay. What spaces are available?,,I am interested to operate a food truck at Marina Bay. What spaces are available?,Place Management,No Feedback,11/14/2019 14:48,1/13/2020 12:13,60,Benjamin Chow
Would a photoshoot of a few vehicles be allowed at bayfront event space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Place Management,No Feedback,11/14/2019 14:55,1/13/2020 12:12,60,Benjamin Chow
Hi Jamie can I have the phone number for film photos at marina bay sands area,General Information about URA,Top Match,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Place Management,No Feedback,11/18/2019 12:54,1/13/2020 12:12,56,Benjamin Chow
how much the bayfront event space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/19/2019 11:39,1/13/2020 12:12,55,Benjamin Chow
rental of space,"I'm interested to organise an event at Marina Bay, where can I find more information?",,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/19/2019 15:48,1/13/2020 12:12,55,Benjamin Chow
which agency is in charge of the waters of marina bay please,Catch all,Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/22/2019 18:14,1/13/2020 12:09,52,Benjamin Chow
price to book the space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,11/25/2019 12:03,1/13/2020 12:08,49,Benjamin Chow
Can i book the promontory for a private family function for an hour,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,11/4/2019 9:41,1/13/2020 12:08,70,Benjamin Chow
I would like to book the event space the lawn for a 3 day outdoor event,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,11/4/2019 13:54,1/13/2020 12:08,70,Benjamin Chow
Bayfront event space capacity,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,11/4/2019 16:09,1/13/2020 12:08,70,Benjamin Chow
Bayfront Event Space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/4/2019 16:09,1/13/2020 12:08,70,Benjamin Chow
The FloatMarina Bays SEAT PLAN,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/7/2019 14:09,1/13/2020 12:08,67,Benjamin Chow
filming request,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Place Management,No Feedback,11/14/2019 12:34,1/13/2020 12:08,60,Benjamin Chow
filming request,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Place Management,No Feedback,11/14/2019 12:34,1/13/2020 12:08,60,Benjamin Chow
Hi Jamie are you there,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,General Information about URA,,Incorrect,11/8/2019 13:30,1/13/2020 12:07,66,Benjamin Chow
hosting event at the promenade,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/8/2019 16:19,1/13/2020 12:07,66,Benjamin Chow
list of event allowed at the bayfront event space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,11/25/2019 11:46,1/13/2020 12:07,49,Benjamin Chow
Hi Can I apply for a company family carnival at the Promontory or the Lawn at Marina Bay,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/27/2019 16:07,1/13/2020 12:07,47,Benjamin Chow
photography permits,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Place Management,No Feedback,11/28/2019 14:11,1/13/2020 12:07,46,Benjamin Chow
I lights participation,Where can I get information on events held at Marina Bay?,,Where can I get information on events held at Marina Bay?,Place Management,No Feedback,12/3/2019 15:43,1/13/2020 12:07,41,Benjamin Chow
i Light Singapore,Where can I get information on events held at Marina Bay?,Top Match,Where can I get information on events held at Marina Bay?,Place Management,No Feedback,12/3/2019 15:43,1/13/2020 12:07,41,Benjamin Chow
does casual filming need a permit,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Top Match,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Place Management,No Feedback,12/10/2019 14:45,1/13/2020 12:07,34,Benjamin Chow
what does commercial filming denote,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Place Management,No Feedback,12/10/2019 14:46,1/13/2020 12:07,34,Benjamin Chow
I am interested to operate a food truck at Marina Bay What spaces are available,I am interested to operate a food truck at Marina Bay. What spaces are available?,Top Match,I am interested to operate a food truck at Marina Bay. What spaces are available?,Place Management,No Feedback,12/12/2019 16:19,1/13/2020 12:07,32,Benjamin Chow
what are food truck operating hours,I am interested to operate a food truck at Marina Bay. What spaces are available?,Top Match,I am interested to operate a food truck at Marina Bay. What spaces are available?,Place Management,No Feedback,12/19/2019 18:15,1/13/2020 12:07,25,Benjamin Chow
Where is Event Square,"I'm interested to organise an event at Marina Bay, where can I find more information?",,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,12/19/2019 18:16,1/13/2020 12:07,25,Benjamin Chow
we want to book The Lawn for an event,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,12/27/2019 10:47,1/13/2020 12:07,17,Benjamin Chow
for the Lawn,"I'm interested to organise an event at Marina Bay, where can I find more information?",,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,12/27/2019 10:51,1/13/2020 12:07,17,Benjamin Chow
Visit URA,General information on Singapore City Gallery,,General information on Singapore City Gallery,,No Feedback,12/26/2019 10:19,1/9/2020 15:47,14,Benjamin Chow
I want to go to the city gallery do you not have an address,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,12/30/2019 6:50,1/9/2020 15:47,10,Benjamin Chow
contact number for URA city gallery,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,12/30/2019 16:51,1/9/2020 15:46,10,Benjamin Chow
school visit,General information on Singapore City Gallery,,General information on Singapore City Gallery,,No Feedback,12/30/2019 16:53,1/9/2020 15:46,10,Benjamin Chow
What are the Singapore City Gallerys opening hours,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,12/30/2019 16:53,1/9/2020 15:46,10,Benjamin Chow
What are the Singapore City Gallerys opening hours,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,12/30/2019 17:02,1/9/2020 15:46,10,Benjamin Chow
Hi Jamie does City Gallery open on Dec 31 2019,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,12/30/2019 21:49,1/9/2020 15:46,10,Benjamin Chow
Do you open on New Years Day,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,12/30/2019 22:07,1/9/2020 15:46,10,Benjamin Chow
what time is the ura consultation closed today,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,12/31/2019 12:18,1/9/2020 15:46,9,Benjamin Chow
what is your opening time,General information on Singapore City Gallery,,General information on Singapore City Gallery,,No Feedback,12/31/2019 12:19,1/9/2020 15:46,9,Benjamin Chow
I want to join ura,General information on Singapore City Gallery,Top Match,This is URA Careers. How can I help you?,Careers,No Feedback,12/30/2019 15:11,1/9/2020 15:46,10,Benjamin Chow
i want to join ura,General information on Singapore City Gallery,Top Match,This is URA Careers. How can I help you?,Careers,No Feedback,12/30/2019 16:19,1/9/2020 15:46,10,Benjamin Chow
How to apply for change of use,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,How do I submit a change of use application?,Development Control > Change of Use,No Feedback,12/31/2019 2:09,1/3/2020 9:34,3,Oh Kie Hock
When do I have to apply for change of use,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,12/31/2019 2:09,1/3/2020 9:34,3,Oh Kie Hock
authorization letter for company vehicle,How do I apply for planning permission?,Top Match,Car Parks-Season Parking-Apply,,No Feedback,12/31/2019 9:37,1/3/2020 9:33,3,Oh Kie Hock
RENTING,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/31/2019 12:21,1/3/2020 9:33,3,Oh Kie Hock
how can I log complaint against condos shoddy workmanship,General info on reporting infringements,,Catch all,,No Feedback,12/31/2019 11:08,1/3/2020 9:33,3,Oh Kie Hock
i was charged for parking by my credit card on 2412 altought i was NOT in Singapore on that date are u ablt to help,Catch all,,Catch all,,No Feedback,12/31/2019 10:37,1/3/2020 9:33,3,Oh Kie Hock
hi just informed that our office has remove new place at 2 Toh Guan Road East 0302B Singapore 608837 kindly inform your financeaccount accordingly Thanks,Catch all,,Catch all,,No Feedback,12/31/2019 13:06,1/3/2020 9:33,3,Oh Kie Hock
Hi Jamie,General Information about URA,Top Match,Catch all,,No Feedback,12/31/2019 19:33,1/3/2020 9:33,3,Oh Kie Hock
httpsepacgovsg is not working,General info for feedback on e-Service errors,,Catch all,,No Feedback,12/31/2019 11:38,1/3/2020 9:32,3,Oh Kie Hock
Whats next to Redhill MRT station empty land,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,12/31/2019 13:14,1/3/2020 9:32,3,Oh Kie Hock
pvc,What are the processing fees for development applications?,,Car Parks Main,,No Feedback,12/31/2019 13:52,1/3/2020 9:32,3,Oh Kie Hock
epac,Catch all,Top Match,Catch all,,No Feedback,12/31/2019 11:38,1/3/2020 9:31,3,Oh Kie Hock
Why I cannot afford BTO ah,General info on renting private residential property,,Catch all,,No Feedback,12/31/2019 12:12,1/3/2020 9:31,3,Oh Kie Hock
No leh,Catch all,Top Match,Catch all,,No Feedback,12/31/2019 12:13,1/3/2020 9:31,3,Oh Kie Hock
just joking,Can I transfer my Season Parking Ticket (SPT) to another vehicle permanently?,,Catch all,,No Feedback,12/31/2019 15:33,1/3/2020 9:30,3,Oh Kie Hock
can i talk to someone urgently,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/31/2019 15:31,1/3/2020 9:30,3,Oh Kie Hock
RENT OUT,General info on renting private residential property,Top Match,Catch all,,No Feedback,12/31/2019 14:08,1/3/2020 9:30,3,Oh Kie Hock
how to add new tenant in the private property,General info on renting private residential property,Top Match,Catch all,,No Feedback,12/31/2019 14:13,1/3/2020 9:30,3,Oh Kie Hock
Hello,General Information about URA,Top Match,Catch all,,No Feedback,12/31/2019 15:01,1/3/2020 9:30,3,Oh Kie Hock
thanks,Thank you,Top Match,Catch all,,No Feedback,12/31/2019 15:02,1/3/2020 9:30,3,Oh Kie Hock
hillview,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,12/31/2019 15:07,1/3/2020 9:30,3,Oh Kie Hock
i tried but could only book 2 lots subsequent attempts were not successful,General info for feedback on e-Service errors,Top Match,General info for feedback on e-Service errors,,No Feedback,12/31/2019 15:30,1/3/2020 9:29,3,Oh Kie Hock
MOP for private property,General info on renting private residential property,Top Match,Catch all,,No Feedback,12/31/2019 17:20,1/3/2020 9:29,3,Oh Kie Hock
minimum occupation period,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/31/2019 17:19,1/3/2020 9:29,3,Oh Kie Hock
what do i need to do to build a mezzanine in in shophouse,"My unit has a high ceiling, can I build a loft?",Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,12/31/2019 21:47,1/3/2020 9:29,3,Oh Kie Hock
what if the loft is more than 5m,"My unit has a high ceiling, can I build a loft?",Top Match,"My unit has a high ceiling, can I build a loft?","Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/31/2019 21:48,1/3/2020 9:27,3,Oh Kie Hock
what if loft is more than 5sqm,"My unit has a high ceiling, can I build a loft?",Top Match,"My unit has a high ceiling, can I build a loft?","Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",Incorrect,12/31/2019 21:48,1/3/2020 9:27,3,Oh Kie Hock
loft more than 5sqm,"My unit has a high ceiling, can I build a loft?",Top Match,"My unit has a high ceiling, can I build a loft?","Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/31/2019 21:49,1/3/2020 9:27,3,Oh Kie Hock
road reserve line and boundary line are the same,Catch all,,Catch all,,No Feedback,12/31/2019 2:03,12/31/2019 11:13,<1,Oh Kie Hock
Are there any forms to be filled by applicant for IGLS site,Catch all,Top Match,Catch all,,No Feedback,12/31/2019 9:44,12/31/2019 11:13,<1,Oh Kie Hock
Where do we find the Appendix H for IGLS development,General info on Development Control guidelines and handbooks,Top Match,Catch all,,No Feedback,12/31/2019 9:44,12/31/2019 11:12,<1,Oh Kie Hock
reconstruction,Catch all,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,12/31/2019 10:24,12/31/2019 11:12,<1,Oh Kie Hock
reconstruction and addition and alteration works,General information on building conservation,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,12/31/2019 10:25,12/31/2019 11:12,<1,Oh Kie Hock
what is Form D,Catch all,Top Match,Catch all,,No Feedback,12/30/2019 11:28,12/31/2019 11:09,1,Oh Kie Hock
we managed a serviced residences and would like to know if we can rent it out to people do confinement services,General info on renting private residential property,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,12/30/2019 10:50,12/31/2019 11:09,1,Oh Kie Hock
master plan site area,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,12/30/2019 8:53,12/31/2019 11:08,1,Oh Kie Hock
is there any update for changi heights rear garden landed housing setbacks,General info on Development Control guidelines and handbooks,,General info on Development Control guidelines and handbooks,,No Feedback,12/30/2019 8:01,12/31/2019 11:08,1,Oh Kie Hock
whats is the changi heights landed rear boundary,General info on change of use,Top Match,General info on change of use,,No Feedback,12/30/2019 8:02,12/31/2019 11:08,1,Oh Kie Hock
what is the changi heights rear boundary,General info on change of use,Top Match,General info on change of use,,No Feedback,12/30/2019 8:07,12/31/2019 11:08,1,Oh Kie Hock
what is covered tarrace patio,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/30/2019 8:04,12/31/2019 11:08,1,Oh Kie Hock
Ura phone,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/30/2019 8:32,12/31/2019 11:07,1,Oh Kie Hock
Ura contact,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/30/2019 8:32,12/31/2019 11:07,1,Oh Kie Hock
office contact no,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/30/2019 8:42,12/31/2019 11:07,1,Oh Kie Hock
Renounce form,"General info on Additions and Alterations, and DC Forms",,Catch all,,No Feedback,12/30/2019 9:09,12/31/2019 11:07,1,Oh Kie Hock
Renounce property,General information on property market,,Catch all,,No Feedback,12/30/2019 9:09,12/31/2019 11:07,1,Oh Kie Hock
Hi can I partition my unit for additional room,General info on change of use,,Can I create internal partitions in a residential property?,Development Control > Subletting Private Residential Properties,No Feedback,12/30/2019 9:57,12/31/2019 11:07,1,Oh Kie Hock
Who to write to for illegal partition in condo,General info on reporting infringements,Top Match,General info on reporting infringements,,No Feedback,12/30/2019 9:45,12/31/2019 11:06,1,Oh Kie Hock
E forms,"General info on Additions and Alterations, and DC Forms",Top Match,Catch all,,No Feedback,12/30/2019 9:10,12/31/2019 11:06,1,Oh Kie Hock
Contact telephone number for reporting illegal rental,General Information about URA,Top Match,General info on reporting infringements,,No Feedback,12/30/2019 8:45,12/31/2019 11:06,1,Oh Kie Hock
WP EXTENSION,How do I apply for planning permission?,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,12/30/2019 10:08,12/31/2019 11:06,1,Oh Kie Hock
eda form gave an error 53,General info for feedback on e-Service errors,Top Match,General info for feedback on e-Service errors,,No Feedback,12/30/2019 10:14,12/31/2019 11:05,1,Oh Kie Hock
feedback,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/30/2019 11:11,12/31/2019 11:05,1,Oh Kie Hock
hi,General Information about URA,Top Match,Catch all,,No Feedback,12/30/2019 10:56,12/31/2019 11:04,1,Oh Kie Hock
Download MasterPlan app,General information on planning process,Top Match,Catch all,,No Feedback,12/30/2019 10:58,12/31/2019 11:04,1,Oh Kie Hock
registered office,General Info on Home Business,Top Match,Catch all,,No Feedback,12/30/2019 11:04,12/31/2019 11:04,1,Oh Kie Hock
