intent,response
Q1,"(STPC) Although I am not parked in a proper parking lot, I think that I am not causing obstruction to the t"
Q2,Are details of facilities in condominiums available in the Private Residential Property Transactions e-Service?
Q3,Are the unit numbers displayed for the transactions listed?
Q4,Are there any courses for professionals?
Q5,Are there any educational programmes for schools?
Q6,Are there guided tours or programmes for visitors?
Q7,Are unit floor plans available in the Private Residential Property Transactions e-Service?
Q8,Are URA's conference and training facilities available for public to rent?
Q9,
Q10,
Q11,Can a developer withdraw moneys from the Project Account for purposes not related to the building project?
Q12,Can a public listed company put in a tender that is subject to its shareholders approval if it gets accepted?
Q13,(APP) Can I appeal for a reduction of fines for my court summons and warrant of arrest?
Q14,Can I apply for a change of use if the conserved building is still undergoing works?
Q15,(SPT) Can I apply for a residential Season Parking Ticket for my second vehicle?
Q16,(UPL) Can I ask for a refund If I do not use the parking lots which I have applied for?
Q17,(UPL) Can I cancel my application If my container does not arrive on the scheduled date(s)?
Q18,Can I change the use of my conserved building without restoring it?
Q19,Can I check my Parking.sg parking history and export my parking transactions?
Q20,(SPT) Can I check the status of my season parking termination application?
Q21,Can I create internal partitions in a residential property?
Q22,(UPL) Can I display a parking coupon on the container instead of applying for use of the parking lots?
Q23,Can I enclose my balcony?
Q24,Can I install screening at my balcony?
Q25,Can I join URA as an intern?
Q26,(Payment) Can I make partial payment instead of full payment?
Q27,"Can I obtain official projections of market trends, i.e. prices, rentals, demand and supply?"
Q28,(VPC) Can I purchase a Vehicle Parking Certificate (VPC) for a URA heavy vehicle park?
Q29,Can I rent the gallery for events?
Q30,Can I start a parking session on the Parking.sg app on behalf of another person or for multiple vehicles?
Q31,(Payment) Can I still make payment after the expiry of the reminder?
Q32,Can I submit more than one application with different minimum prices for one site at the same time?
Q33,(SPT) Can I suspend my valid Season Parking Ticket for a few days?
Q34,(SPT) Can I transfer my Season Parking Ticket (SPT) to another place? What is the eligibility criteria?
Q35,Can I transfer my Season Parking Ticket (SPT) to another vehicle permanently?
Q36,(VPC) Can I transfer my Vehicle Parking Certificate (VPC) from one vehicle to another?
Q37,Can I transfer the Season Parking Ticket (SPT) to another vehicle?
Q38,(SPT) Can I use the Season Parking Ticket (SPT) for another vehicle temporarily?
Q39,Can I use the Season Parking Ticket (SPT) for another vehicle temporarily? Clicked Temporary Transfer
Q40,Can the licensed developer commence sale before the opening of the show unit for viewing?
Q41,(VPC) Can you refund my Vehicle Parking Certificate (VPC)?
Q42,Car Parks - VPC - Problems
Q43,Car Parks Main
Q44,Car Parks-Other Car Park Matters
Q45,Car Parks-Other Car Park Matters-Common Offences
Q46,Car Parks-Other Car Park Matters-Exchange coupons
Q47,Car Parks-Other car park matters-Parking.sg
Q48,Car Parks-Other car park matters-Parking.sg-Issues with Parking.sg
Q49,Car Parks-Other car park matters-Parking.sg-Parking.sg payment and billing
Q50,Car Parks-Other car park matters-Parking.sg-Using Parking.sg for parking
Q51,Car Parks-Parking Offences
Q52,Car Parks-Parking Offences-Appeals
Q53,Car Parks-Parking Offences-Check outstanding
Q54,Car Parks-Parking Offences-Court Summonses
Q55,Car Parks-Parking Offences-Warrants of Arrest
Q56,Car Parks-Season Parking
Q57,Car Parks-Season Parking-Apply
Q58,Car Parks-Season Parking-Renew
Q59,Car Parks-Season Parking-Suspend
Q60,Car Parks-Season Parking-Terminate
Q61,Car Parks-Season Parking-Transfer
Q62,Car Parks-Season Parking-Transfer-Permanent Transfer
Q63,Car Parks-Season Parking-Transfer-Temporary Transfer
Q64,Car Parks-Use of Parking lot for non-parking purpose
Q65,Car Parks-Use of Parking Lots for non-parking purpose-Cancel/Amend application
Q66,Car Parks-Use of Parking Lots for non-parking purpose-Payment
Q67,Car Parks-VPC
Q68,Car Parks-VPC-Renew
Q69,Car Parks-VPC-Renew-Vehicle Type
Q70,Car Parks-VPC-Terminate
Q71,Catch all
Q72,Contextual Question
Q73,(UPL) Do I have to pay for the use of the parking lots?
Q74,Do I have to register my home as a Home Office if I work alone and do not engage any employee?
Q75,Do I have to submit an internal layout plan for my conserved building?
Q76,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?
Q77,
Q78,(SPT) Do I need to display a Season Parking Ticket in my vehicle?
Q79,Do I need to inform URA if I do not use my home as a Home Office?
Q80,(UPL) Do I need to register before I can apply for the use of parking lots? What are the benefits of registration?
Q81,
Q82,Do I need URA's clearance for Category 3 works to a conserved building?
Q83,
Q84,
Q85,General info for feedback on e-Service errors
Q86,"General info on Additions and Alterations, and DC Forms"
Q87,General info on buying and renovating private residential properties
Q88,General info on change of use
Q89,General info on Development Control guidelines and handbooks
Q90,General Info on Home Business
Q91,General Info on Housing Developer
Q92,General info on renting private residential property
Q93,General info on reporting infringements
Q94,General info on Street and Building Names
Q95,General Info on URA SPACE map service
Q96,General Information about URA
Q97,General information on building conservation
Q98,General information on development charge rates
Q99,General information on land sales
Q100,General information on planning process
Q201,
Q202,"My unit has a high ceiling, can I build a loft?"
Q203,Rephrase question
Q204,Thank you
Q205,This is URA Careers. How can I help you?
Q206,What are Confirmed List and Reserve List?
Q207,What are eDeveloper's Packets and how can I purchase them?
Q208,What are the conservation guidelines for a conserved building?
