intent,phrase
Q1,Although I am not parked in a proper parking lot I think that I am not causing obstruction to the traffic Why cant I park this way
Q1,"Although I am not parked in a proper parking lot, I think that I am not causing obstruction to the traffic. Why can't I park this way?"
Q1,Can i ask can I park on this road
Q1,can i park beyond boundary of the lot
Q1,Hi I would like to check regarding parking of skip bin
Q1,How to check if I have made a parking offence I parked my car on the roadside with single yellow line for 5 minutes
Q1,how to check trafffic offence
Q1,how to report car not parking properly in the parking lot
Q1,I did not cause any obstruction although I did park outside the lot Why do you still book me
Q1,I did not cause any obstruction although I did park outside the lot. Why do you still book me?
Q1,I did not cause obstruction
Q1,I park in a proper carpark lot but its free on Sundays no coupon needed Others park along the double lines or zig zag lines are not fine
Q1,I parked along the double yellow lines but I did not cause obstruction Why am I still issued a notice
Q1,I parked along the double yellow lines but I did not cause obstruction. Why am I still issued a notice?
Q1,I parked outside the lot but I am not causing obstruction Why you still book me
Q1,I parked outside the lot but I am not causing obstruction. Why you still book me?
Q1,I parked outside the lot but I did not cause obstruction Why did your officer book me
Q1,I parked outside the lot but I did not cause obstruction. Why did your officer book me?
Q1,I was issued a parking notice by Cisco for parking other than a parking lot which used to be a parking lot I even pay for the parking on line
Q1,it is not parking offences
Q1,park beyond boundaries
Q1,park vehicles outside the parking lots
Q1,Parking along single white line
Q1,parking lot obstruction
Q1,parking outside parking lots
Q1,road users
Q1,single yellow line
Q1,traffic obstruction
Q1,What is the penalty of my vehicle is parked outside the parking lot
Q1,What season parking are u talking about All these years we who attends Wesley Church are allowed to park at Fort Canning along the road sideWhy am I fine Dont un
Q1,Why am I ask to pay fine for parking Fort Canning Carpark A Off Street
Q1,why am I charged wrongly for parking properly
Q1,Why cant I park on Fort Canning Carpark A on Sunday when others can We attend Wesley Church
Q1,why i can't park outside parking lots
Q2,Are details of facilities in condominiums available in the Private Residential Property Transactions eService
Q3,Are the unit numbers displayed for the transactions listed?
Q4,academy
Q4,any cpd course available
Q4,Are there any courses for professionals?
Q4,can I be included in the mailing list of upcoming professional course conducted by ura
Q4,courses by ura
Q4,cpd
Q4,cpd course
Q4,Government Land Sales Course
Q4,Hi Jamie I wish to register for URA Courses Regards Cherlyn Hp86918000
Q4,Hi Jamie may i ask whether URA only conduct ILUP Course once a year
Q4,hi ow much isyhe coursefee
Q4,Hi what is land use planning
Q4,how much is the course for urban planning
Q4,How much is the course on integrated planning
Q4,How to join URA Academy Courses
Q4,i am looking for the information on your authoritys seminar held on may titled Underground Singapores Next Frontier
Q4,I Have to know regarding a costomised course program under your Authority
Q4,I would like to know if you provide Executive Programme 1 Overview of land use planning in Singapore
Q4,may i know after 2 August 2019 when is the date of this course be available to be attended
Q4,may I know the coursesseminarstalks URA will be conducting in the coming months to assist architects to attain CPD points
Q4,next run of ilup
Q4,the ILUP course will be held from 30 July to 2 August 2019 so when is the next session of this course
Q4,the integrated land use planning course how much does it cost
Q4,what are the training course available
Q4,What CPD classes does ura conduct
Q4,where to look for courses on planning development
Q5,Are there any educational programmes for schools?
Q6,Are there guided tours or programmes for visitors?
Q7,5 jalan bingka floor plan
Q7,Apparently the Seller bought the Approved Construction Plan that only show the Structure and not the Floorplan I need
Q7,Are unit floor plans available in the Private Residential Property Transactions eService
Q7,Are unit floor plans available in the Private Residential Property Transactions e-Service?
Q7,BCA officer tell me that they not provide floor plan
Q7,breakdown of floor plan or floor plan description
Q7,buy a floor plan
Q7,buy floor plan
Q7,buy hdb floor plan
Q7,buy my current house plans
Q7,buy plans
Q7,buy residential plan
Q7,can I buy a landed floor plan
Q7,Can I buy floor plan from URA?
Q7,Can I find out how big is my apartment?
Q7,can I get a floorplan for private apartment
Q7,Can i get floorplans from URA
Q7,can i have the floor plan
Q7,can I purchase as built plan with an option to purchase form
Q7,Can I purchase my propertys floor plan online
Q7,Can I purchase renovation plan
Q7,Can I submit floor plans before key collection
Q7,CHECK IF 12M OR 155M
Q7,CHECK IF HOUSE IF IS 12 OR 155M
Q7,Condominium floor plan
Q7,Conserved building floorplan
Q7,Does URA record all property unit sizes?
Q7,Find building build up area
Q7,floor plan 1
Q7,floor plan for hawker centre stalls
Q7,Floor plan for unit
Q7,floorplan
Q7,Good afternoon may i know how i can get Original Palm Green Floor Plan
Q7,have a shophouse that i need to get hold of the floor plan
Q7,Hi can I buy condo floor plan
Q7,Hi can I buy the floor plan all the 4 level for a conservation shop house with the total built up area given
Q7,hi can i purchase the commercial shop floor plan online
Q7,Hi how can i buy a copy of residential handbook
Q7,Hi how can i get the floor plan or size parimeters of an old landed property
Q7,hi how can i know the floorplan of a shophouse
Q7,Hi How can I purchase a floor plan for a comercial shop unit
Q7,hi how do i purchase floor plan from this website
Q7,hi how to apply for floor plan for my house
Q7,Hi I just purchased a property and was wondering how I can get a copy of my units floorplan
Q7,Hi I like to get the original floor plan for my unit Address is Viz Holland 1209 How do I go about this
Q7,Hi i would like to buy floor plan of a unit at Camelot Condo how to get one
Q7,Hi I would like to know a units floor plan
Q7,Hi Ill like to buy a private property detail floor plan May I know how do I go about it
Q7,hi im an interior designer and would like to help my client to purchase an as built plan of the house which he intend to buy HE is not the officialowner but only have
Q7,Hi Jamie Can get a copy of URAPB201403DCG
Q7,Hi Jamie how can I buy a floor plan for a landed house
Q7,hi jamie may i know where can i get the floorplan layout for my shop
Q7,Hi Jamie may i know where can i obtain or purchase floor plan of a shopping centre
Q7,Hi may I know how can I request for a floor plan for my client
Q7,Hi there I am the interior designer who currently required to do a proposal for 27 keong siak road how do i purchase floor plan
Q7,home layout
Q7,How can i get a official floor plan for a condo
Q7,How can I get floor plan of my property
Q7,How can I get or retrieve my private apartment s original FLOOR PLAN from URA
Q7,how can i get the layout plan for landed house
Q7,how can i purchase a floor plan for my landed property
Q7,how can I purchase a floor plan of my office unit
Q7,how do i buy floor plan of my house
Q7,How do I find build up area for a building
Q7,How do i get a floor plan
Q7,How do I get the floorplan with measurement for my resale condo
Q7,how do i i purchase a floor plan for shop house in 111 east coast road
Q7,how do I obtain a copy of the unit floor plan
Q7,how do i obtain floor plan of a condo unit
Q7,how do i purchase a floor plan for shop house in 111 east coast road
Q7,how do I purchase an existing house layout plan
Q7,how do i purchase blueprint of a shop house
Q7,How do I purchase blueprint of a shophouse
Q7,how do i purchase my landed propoerty plan
Q7,how do i purchase my propoerty plan
Q7,how do i purchase plan for my unit
Q7,how do i purchase plan for the building
Q7,How do I purchase Singapore 11
Q7,How do I request for a property floor plan
Q7,how do i request for floor plan of my residential property
Q7,How to apply for floor plan I am the owner
Q7,how to buy a floor plan for a landed property
Q7,how to buy a floor plan for my private residential condo unit
Q7,how to buy building floor plan
Q7,How to buy floor plan
Q7,how to find PES of my property
Q7,how to get a floor plan of a condominium unit
Q7,How to obtain floor plan for condominium
Q7,how to obtain unit floor plan
Q7,how to purchase landed property floor plan
Q7,how to purchase the internal floor plan for 27 keong saik road
Q7,I am requesting for floor plan for my shop
Q7,i do i purchase a floor plan for shop house in 111 east coast road
Q7,I need to buy floor plan
Q7,i need to buy floor plan of my private house
Q7,i need to purchase unit floor plan Then i call to BCA officer tell me that they not sell floor plan How i can do
Q7,i purchased the floor plan from URA many years ago only mentioned lot no but never mentioned the area of individual unit How can I know thesize of my unit
Q7,i want buy a unit at paya ubi insdustrial
Q7,I want to buy the floor plan of golden Mile complex
Q7,I want to find the pes of my unit
Q7,I want to find the size of my condo
Q7,I want to find the sqft of my condo
Q7,i wish purchase condo unit floor plan Can i ask hdb officer
Q7,I would like to know a units floor plan
Q7,I would like to obtain the plans and drawings for a private residential property
Q7,if i need to buy a landed house floor plan is it get from URA
Q7,Im looking to buy floor plan for Pasir Ris beach park landed property Is it available
Q7,Jamie where can i check floor plan of my property
Q7,layout of home
Q7,layout of unit
Q7,May i know where to print the floor plan
Q7,ME floors
Q7,My buyer wants to buy a land to building place of worship
Q7,No I want to find the unit size of Tagore Building
Q7,Original Palm Green Floor Plan
Q7,purchase floor plan
Q7,purchase my landed property building plan
Q7,purchase of floor plan for our property
Q7,purchase of floorplan
Q7,purchase of landed property flr plan
Q7,purchase shophouse floorplan
Q7,Purchasing of URA plan
Q7,Request a Condo floor plan
Q7,Under Buy Planning Records will I be able to buy Detailed Floorplan of a Landed Property Which shows the Dimensions of the Kitchen BedroomsToiletsetc
Q7,What is the size of my apartment?
Q7,where can i buy a big master plan
Q7,where can I buy private property floor plan
Q7,where can I buy private shophouse floorplans
Q7,where can I buy the build plan of my property
Q7,Where can I buy the Masterplan
Q7,Where can I buy the unit floor plan
Q7,Where can i find floor plans of a certain building
Q7,Where can i find the floorplan for a landed residential property
Q7,Where can I find the layout floor plan of an existing old condo
Q7,where can i purchase condominium fllor plan
Q7,Where can I purchase Strata Subdivision Plan for a Place of Worship
Q7,Where Can i request a Blue print or floor plan for condo
Q7,where do i get a floor plan of my house
Q7,Where may I find a floor plan for a particular shophouse unit
Q7,where to buy a landed house plan
Q7,Where to find ria townhouse size plan
Q7,where to purchase detailed plan for condominium
Q7,Will I be able to obtain the built in area of a shophouse from URA
Q8,any training room for 75 pax
Q8,Are URAs conference and training facilities available for public to rent
Q8,Are URA's conference and training facilities available for public to rent?
Q8,can i rent a room at ura
Q8,Can I rent rooms at URA?
Q8,can i rent ura facilities
Q8,Can I rent?
Q8,Can I use URA facilities for events?
Q8,conference and training facilities
Q8,Email address for booking of facilities
Q8,Function room rental
Q8,hi jamie i am llooking to do some outdoor events and was wondering if there is a link or site where i can check out the locations under URAavailable for venue rental
Q8,how do I rent floating stadium
Q8,I am looking for auditorium for corporate use
Q8,id like to enquire regarding event space leasing
Q8,like to enquire of venue hire
Q8,may i know any training room available for 75 pax on 23 September 2019
Q8,Meeting Rom
Q9,"Can a company whose director(s) is debarred by the Standing Committee on Debarment (SCOD), participate in the Reserve List system?"
Q10,"Can a company, or a person who is debarred by the Standing Committee on Debarment submit an application under the Reserve List system?"
Q11,Can a developer withdraw moneys from the Project Account for purposes not related to the building project?
Q12,Can a public listed company put in a tender that is subject to its shareholders approval if it gets accepted?
Q13,Can I appeal for a reduction of fines for my court summons and warrant of arrest?
Q14,Can I apply for a change of use if the conserved building is still undergoing works
Q15,can i apply for a residential season parking ticket for my second vehicle
Q15,can I apply for a second ura season parking
Q15,Can you apply fo 2 ura residential season carpark at Petain Rd
Q16,can i ask for refund if i do not use the parking lots which i have applied for
